source,target,weight,connection_type
AVAR,LUAR,10.0,chemical
AVAR,PDEL,1.0,chemical
AVAR,PDER,1.0,chemical
AVAR,PVCL,11.0,chemical
AVAR,PVCR,10.0,mixed
AVAR,RIGL,1.0,chemical
AVAR,RIML,2.0,electrical
AVAR,RIMR,1.0,electrical
AVAR,SABD,1.0,chemical
AVAR,SABVL,3.0,electrical
AVAR,SABVR,1.0,electrical
AVAR,URYDR,1.0,electrical
AVAR,URYVL,1.0,electrical
AVAR,VA10,1.0,electrical
AVAR,VA11,7.0,electrical
AVAR,VA12,1.0,electrical
AVAR,VA2,2.0,chemical
AVAR,VA3,2.0,electrical
AVAR,VA4,3.0,electrical
AVAR,VA5,3.0,electrical
AVAR,VA6,2.0,electrical
AVAR,VA7,4.0,electrical
AVAR,VA8,4.0,electrical
AVAR,VA9,6.0,chemical
AVAR,VB9,4.0,electrical
AVAR,VD13,4.0,chemical
AVAR,AVBR,7.0,chemical
AVAR,AVJR,1.0,chemical
AVAR,FLPR,5.0,chemical
AVAR,RICL,6.0,chemical
AVAR,RICR,5.0,chemical
AVAR,ASHR,5.0,chemical
AVAR,AVJL,1.0,chemical
AVAR,ADEL,3.0,chemical
AVAR,FLPL,17.0,chemical
AVAR,SAAVR,13.0,chemical
AVAR,AUAR,1.0,chemical
AVAR,PVPR,2.0,chemical
AVAR,ADLL,3.0,chemical
AVAR,ADLR,2.0,chemical
AVAR,RIBR,2.0,chemical
AVAR,SAADR,3.0,chemical
AVAR,RMGR,1.0,chemical
AVAR,BAGL,2.0,chemical
AVAR,DVA,1.0,chemical
AVAR,SMBDL,1.0,chemical
AVAR,SDQL,3.0,chemical
AVAR,AQR,3.0,chemical
AVAR,PVPL,2.0,chemical
AVAR,VD5,1.0,chemical
AVAR,DVC,7.0,chemical
AVAR,PQR,11.0,chemical
AVAR,AVG,3.0,chemical
AVAR,VD11,2.0,chemical
AVAR,PHBR,7.0,chemical
AVAR,PLMR,1.0,chemical
AVAR,PHBL,6.0,chemical
AVAR,PVDL,6.0,chemical
AVAR,PVWR,1.0,chemical
AVAR,PVDR,9.0,chemical
AVBL,AQR,4.0,mixed
AVBL,AS10,1.0,chemical
AVBL,AS3,1.0,chemical
AVBL,AS4,1.0,chemical
AVBL,AS5,1.0,chemical
AVBL,AS6,1.0,chemical
AVBL,AS7,2.0,electrical
AVBL,AS9,1.0,chemical
AVBL,AVAL,7.0,chemical
AVBL,AVBR,4.0,mixed
AVBL,AVDL,1.0,chemical
AVBL,AVDR,3.0,chemical
AVBL,AVEL,1.0,chemical
AVBL,AVER,2.0,chemical
AVBL,AVL,1.0,chemical
AVBL,DVA,2.0,mixed
AVBL,PVNR,2.0,chemical
AVBL,SDQR,7.0,mixed
AVBL,SIBVL,1.0,electrical
AVBL,VA10,1.0,chemical
AVBL,VA2,1.0,chemical
AVBL,VA7,1.0,chemical
AVBL,VB1,1.0,electrical
AVBL,VB10,2.0,electrical
AVBL,VB11,2.0,electrical
AVBL,VB2,3.0,electrical
AVBL,VB5,1.0,electrical
AVBL,VB6,1.0,electrical
AVBL,VB7,2.0,electrical
AVBL,VB8,7.0,electrical
AVBL,VB9,1.0,electrical
AVBL,VC3,1.0,chemical
AVBL,AVJR,3.0,chemical
AVBL,FLPR,5.0,chemical
AVBL,RIML,2.0,chemical
AVBL,ADAR,2.0,chemical
AVBL,AVJL,1.0,chemical
AVBL,PVQR,1.0,chemical
AVBL,RIMR,2.0,chemical
AVBL,FLPL,4.0,chemical
AVBL,RIFL,10.0,chemical
AVBL,URBL,1.0,chemical
AVBL,AVKL,1.0,chemical
AVBL,PVR,4.0,chemical
AVBL,PVPR,4.0,chemical
AVBL,URXR,1.0,chemical
AVBL,ADLL,4.0,chemical
AVBL,ADLR,1.0,chemical
AVBL,AWBL,1.0,chemical
AVBL,PVCL,5.0,chemical
AVBL,RIFR,1.0,chemical
AVBL,RIBR,1.0,electrical
AVBL,RIBL,1.0,electrical
AVBL,AVFL,1.0,chemical
AVBL,AVFR,1.0,chemical
AVBL,AVHL,1.0,chemical
AVBL,AVHR,2.0,chemical
AVBL,RID,1.0,electrical
AVBL,AVM,6.0,chemical
AVBL,PVCR,8.0,chemical
AVBL,PVPL,5.0,chemical
AVBL,URXL,1.0,chemical
AVBL,DB5,1.0,electrical
AVBL,DB6,2.0,electrical
AVBL,DB3,1.0,electrical
AVBL,DB4,1.0,electrical
AVBL,DVC,1.0,chemical
AVBL,AVG,2.0,chemical
AVBL,VC4,1.0,chemical
AVBL,DB7,2.0,electrical
AVBL,VB4,1.0,electrical
AVBR,AS1,1.0,chemical
AVBR,AS10,1.0,chemical
AVBR,AS3,1.0,chemical
AVBR,AS4,1.0,chemical
AVBR,AS5,1.0,chemical
AVBR,AS6,1.0,electrical
AVBR,AS7,2.0,electrical
AVBR,AVAL,7.0,chemical
AVBR,DA5,1.0,chemical
AVBR,DB4,1.0,electrical
AVBR,DD1,1.0,electrical
AVBR,DVA,1.0,electrical
AVBR,HSNR,1.0,chemical
AVBR,PVNL,3.0,mixed
AVBR,SIBVL,1.0,electrical
AVBR,VA4,1.0,chemical
AVBR,VA9,2.0,mixed
AVBR,VB10,1.0,electrical
AVBR,VB11,1.0,electrical
AVBR,VB2,1.0,electrical
AVBR,VB3,1.0,electrical
AVBR,VB6,2.0,electrical
AVBR,VB7,2.0,electrical
AVBR,VB8,3.0,electrical
AVBR,VB9,6.0,electrical
AVBR,VD3,1.0,chemical
AVBR,AVJR,1.0,chemical
AVBR,FLPR,1.0,chemical
AVBR,RIML,3.0,chemical
AVBR,ADAR,5.0,chemical
AVBR,ASHR,3.0,chemical
AVBR,AVJL,4.0,chemical
AVBR,RIMR,5.0,chemical
AVBR,FLPL,5.0,chemical
AVBR,RIFL,1.0,chemical
AVBR,RMGL,2.0,chemical
AVBR,PVR,4.0,chemical
AVBR,AWBR,2.0,chemical
AVBR,PVPR,5.0,chemical
AVBR,URXR,2.0,chemical
AVBR,ADLR,2.0,chemical
AVBR,PVCL,12.0,chemical
AVBR,AIML,2.0,chemical
AVBR,RIFR,17.0,chemical
AVBR,RIBR,1.0,electrical
AVBR,RIBL,1.0,electrical
AVBR,AVFL,2.0,chemical
AVBR,AVFR,5.0,chemical
AVBR,AVHL,1.0,chemical
AVBR,AVHR,1.0,chemical
AVBR,PVNR,2.0,chemical
AVBR,RMGR,1.0,chemical
AVBR,RID,2.0,electrical
AVBR,AVM,6.0,chemical
AVBR,PVCR,6.0,chemical
AVBR,AQR,4.0,chemical
AVBR,PVPL,6.0,chemical
AVBR,DB1,3.0,electrical
AVBR,DB5,1.0,electrical
AVBR,DB6,1.0,electrical
AVBR,SDQR,4.0,chemical
AVBR,VA8,1.0,electrical
AVBR,DB3,1.0,electrical
AVBR,URYVL,1.0,chemical
AVBR,AVG,2.0,chemical
AVBR,URBR,1.0,chemical
AVBR,DB2,1.0,electrical
AVBR,DB7,1.0,electrical
AVBR,VB4,1.0,electrical
AVBR,VD10,1.0,electrical
AVDL,AS1,1.0,chemical
AVDL,AS10,1.0,chemical
AVDL,AS11,2.0,chemical
AVDL,AS4,1.0,chemical
AVDL,AS5,1.0,chemical
AVDL,AVAL,14.0,chemical
AVDL,DA1,1.0,chemical
AVDL,DA2,1.0,chemical
AVDL,DA3,4.0,chemical
AVDL,DA4,2.0,chemical
AVDL,DA5,1.0,chemical
AVDL,DA8,1.0,chemical
AVDL,LUAL,5.0,chemical
AVDL,PVCL,6.0,chemical
AVDL,SABD,2.0,chemical
AVDL,SABVL,1.0,chemical
AVDL,SABVR,1.0,chemical
AVDL,VA5,2.0,chemical
AVDL,AVDR,2.0,chemical
AVDL,AVJR,1.0,chemical
AVDL,FLPR,1.0,electrical
AVDL,ADAR,2.0,electrical
AVDL,ASHR,5.0,chemical
AVDL,AVJL,1.0,chemical
AVDL,FLPL,1.0,electrical
AVDL,ADLL,1.0,chemical
AVDL,ADLR,5.0,chemical
AVDL,AIML,1.0,chemical
AVDL,AVHL,1.0,chemical
AVDL,RMGR,1.0,chemical
AVDL,AVM,2.0,electrical
AVDL,PVCR,5.0,chemical
AVDL,AQR,1.0,chemical
AVDL,VA4,1.0,chemical
AVDL,LUAR,1.0,chemical
AVDL,PVNL,3.0,chemical
AVDL,PQR,7.0,chemical
AVDL,PHBR,1.0,chemical
AVDL,PLMR,1.0,chemical
AVDL,PHBL,1.0,chemical
AVDR,AS10,1.0,chemical
AVDR,AS5,1.0,chemical
AVDR,AVAL,16.0,chemical
AVDR,DA1,2.0,chemical
AVDR,DA2,1.0,chemical
AVDR,DA3,2.0,chemical
AVDR,DA4,2.0,chemical
AVDR,DA5,2.0,chemical
AVDR,DA8,1.0,chemical
AVDR,DA9,1.0,chemical
AVDR,DB4,1.0,chemical
AVDR,DVC,1.0,chemical
AVDR,LUAL,4.0,chemical
AVDR,PQR,7.0,chemical
AVDR,SABD,1.0,chemical
AVDR,SABVL,3.0,chemical
AVDR,SABVR,1.0,chemical
AVDR,VA11,1.0,chemical
AVDR,VA2,1.0,chemical
AVDR,VA3,2.0,chemical
AVDR,VA6,1.0,chemical
AVDR,AVJR,3.0,chemical
AVDR,FLPR,1.0,electrical
AVDR,ASHR,1.0,chemical
AVDR,AVJL,2.0,electrical
AVDR,ADER,2.0,chemical
AVDR,FLPL,13.0,chemical
AVDR,AVER,1.0,chemical
AVDR,AUAL,1.0,chemical
AVDR,ADLL,1.0,electrical
AVDR,ADLR,2.0,chemical
AVDR,PVCL,2.0,chemical
AVDR,AIML,1.0,chemical
AVDR,HSNL,2.0,chemical
AVDR,RIBL,1.0,chemical
AVDR,ALML,1.0,chemical
AVDR,AVHR,1.0,chemical
AVDR,AIMR,1.0,chemical
AVDR,HSNR,1.0,chemical
AVDR,PVNR,1.0,chemical
AVDR,PVCR,1.0,chemical
AVDR,AQR,1.0,chemical
AVDR,PVPL,2.0,chemical
AVDR,LUAR,3.0,chemical
AVDR,PVNL,3.0,chemical
AVDR,AVG,1.0,chemical
AVDR,PHAL,1.0,chemical
AVDR,PHBR,1.0,chemical
AVDR,PLMR,4.0,chemical
AVDR,PVWR,1.0,chemical
AVEL,AS1,1.0,chemical
AVEL,AVAL,12.0,chemical
AVEL,AVER,1.0,electrical
AVEL,DA1,5.0,chemical
AVEL,DA2,1.0,chemical
AVEL,DA3,3.0,chemical
AVEL,DA4,1.0,chemical
AVEL,PVCR,2.0,chemical
AVEL,PVT,1.0,chemical
AVEL,RMDVR,1.0,electrical
AVEL,SABD,6.0,chemical
AVEL,SABVL,7.0,chemical
AVEL,SABVR,3.0,chemical
AVEL,VA1,5.0,chemical
AVEL,VA3,3.0,chemical
AVEL,VD2,1.0,chemical
AVEL,VD3,1.0,chemical
AVEL,FLPR,4.0,chemical
AVEL,RIML,2.0,electrical
AVEL,ADAR,1.0,chemical
AVEL,AVJL,1.0,chemical
AVEL,RIMR,3.0,electrical
AVEL,ADEL,1.0,chemical
AVEL,AVL,1.0,chemical
AVEL,IL2L,1.0,chemical
AVEL,RIGL,2.0,chemical
AVEL,RMGL,2.0,chemical
AVEL,ALA,2.0,chemical
AVEL,AVKL,2.0,chemical
AVEL,CEPDR,6.0,chemical
AVEL,OLLR,16.0,chemical
AVEL,AUAL,3.0,chemical
AVEL,AIZR,4.0,chemical
AVEL,PVCL,2.0,chemical
AVEL,RIBR,3.0,chemical
AVEL,RIBL,2.0,chemical
AVEL,ALML,1.0,chemical
AVEL,PVNR,3.0,chemical
AVEL,BAGL,1.0,chemical
AVEL,BAGR,4.0,chemical
AVEL,DVA,9.0,chemical
AVEL,SDQL,1.0,chemical
AVEL,CEPVR,5.0,chemical
AVEL,URXL,4.0,chemical
AVEL,URYVR,6.0,chemical
AVEL,URYDR,2.0,chemical
AVEL,PVNL,1.0,chemical
AVEL,AVG,1.0,chemical
AVEL,RIS,7.0,chemical
AVEL,IL1R,1.0,chemical
AVEL,RMEV,1.0,electrical
AVJR,AVAL,1.0,chemical
AVJR,AVER,3.0,chemical
AVJR,AVJL,4.0,electrical
AVJR,PVCL,2.0,mixed
AVJR,PVCR,4.0,chemical
AVJR,PVQR,1.0,chemical
AVJR,SABVL,1.0,chemical
AVJR,FLPR,1.0,chemical
AVJR,ADER,1.0,chemical
AVJR,BDUL,1.0,chemical
AVJR,RIFL,2.0,chemical
AVJR,PVR,2.0,chemical
AVJR,ADLL,3.0,chemical
AVJR,ADLR,2.0,chemical
AVJR,RIFR,2.0,chemical
AVJR,AVFL,1.0,chemical
AVJR,AVFR,1.0,chemical
AVJR,AVHR,4.0,chemical
AVJR,PVNR,1.0,chemical
AVJR,AVM,1.0,chemical
AVJR,URXL,1.0,chemical
AVJR,LUAR,1.0,chemical
AVJR,PVNL,5.0,chemical
FLPR,ADER,3.0,chemical
FLPR,AVAL,12.0,chemical
FLPR,AVER,2.0,chemical
FLPR,DVA,1.0,chemical
FLPR,FLPL,3.0,mixed
FLPR,PVCL,2.0,chemical
FLPR,VB1,1.0,chemical
RICL,ADAR,2.0,chemical
RICL,AVAL,5.0,chemical
RICL,AVKL,1.0,electrical
RICL,AVKR,1.0,electrical
RICL,RIML,1.0,chemical
RICL,RIMR,3.0,chemical
RICL,RIVR,1.0,chemical
RICL,RMFR,1.0,chemical
RICL,SMBDL,2.0,chemical
RICL,SMDDL,3.0,chemical
RICL,SMDDR,3.0,chemical
RICL,SMDVR,1.0,chemical
RICL,CEPDL,2.0,chemical
RICL,IL2L,1.0,chemical
RICL,CEPDR,4.0,chemical
RICL,OLQVL,1.0,chemical
RICL,AWBR,1.0,electrical
RICL,ADLR,1.0,chemical
RICL,OLQDR,1.0,chemical
RICL,CEPVL,7.0,chemical
RICL,CEPVR,2.0,chemical
RICL,URXL,1.0,chemical
RICR,ADAR,1.0,chemical
RICR,ASHR,2.0,electrical
RICR,AVAL,5.0,chemical
RICR,AVKL,1.0,electrical
RICR,SMBDR,1.0,chemical
RICR,SMDDL,4.0,chemical
RICR,SMDDR,3.0,chemical
RICR,SMDVL,2.0,chemical
RICR,SMDVR,1.0,chemical
RICR,CEPDL,4.0,chemical
RICR,URBL,1.0,chemical
RICR,CEPDR,3.0,chemical
RICR,ADLR,1.0,chemical
RICR,OLQDR,1.0,chemical
RICR,CEPVL,4.0,chemical
RICR,SDQL,1.0,chemical
RICR,CEPVR,4.0,chemical
RICR,SDQR,1.0,chemical
RICR,OLQDL,1.0,chemical
RICR,URBR,1.0,chemical
RICR,OLQVR,1.0,chemical
RICR,IL2DR,1.0,chemical
RIML,AVAL,1.0,chemical
RIML,AVER,3.0,electrical
RIML,LegacyBodyWallMuscles,4.0,chemical
RIML,RIBL,1.0,chemical
RIML,RMDL,1.0,chemical
RIML,RMDR,1.0,chemical
RIML,RMFR,1.0,chemical
RIML,SAADR,5.0,chemical
RIML,SAAVL,5.0,chemical
RIML,SAAVR,7.0,chemical
RIML,SMDDR,5.0,chemical
RIML,SMDVL,1.0,chemical
RIML,RIFL,4.0,chemical
RIML,AVKL,2.0,chemical
RIML,AVKR,2.0,chemical
RIML,AIZL,4.0,chemical
RIML,AIYL,1.0,electrical
RIML,HSNL,2.0,chemical
RIML,SAADL,3.0,chemical
RIML,VB1,2.0,chemical
RIML,RIS,1.0,electrical
RIPL,OLQDL,1.0,chemical
RIPL,OLQDR,1.0,chemical
RIPL,CEPDL,2.0,chemical
RIPL,RIH,5.0,chemical
RIPL,PVR,3.0,chemical
RIPL,OLQVL,1.0,chemical
RIPL,ADLL,1.0,chemical
RIPL,CEPVL,1.0,chemical
RIPL,URADL,3.0,chemical
RIPL,IL1DL,2.0,chemical
RIPL,IL1VL,4.0,chemical
RIPL,URAVL,3.0,chemical
RIPL,RMED,1.0,electrical
RIPL,I1R,1.0,electrical
RIPL,IL2DL,10.0,chemical
RIPL,IL2VL,11.0,chemical
SMDVR,LegacyBodyWallMuscles,4.0,chemical
SMDVR,RIAL,18.0,chemical
SMDVR,RIAR,12.0,chemical
SMDVR,RIVR,4.0,mixed
SMDVR,RMDDL,2.0,chemical
SMDVR,RMDVR,1.0,electrical
SMDVR,SMDDL,4.0,chemical
SMDVR,SMDVL,1.0,electrical
SMDVR,VB1,1.0,electrical
SMDVR,OLLL,4.0,chemical
SMDVR,OLLR,3.0,chemical
SMDVR,RIBL,2.0,electrical
SMDVR,URYVL,4.0,chemical
SMDVR,RIS,1.0,chemical
AIZL,RIH,4.0,chemical
AIZL,AIAL,4.0,chemical
AIZL,AIZR,2.0,electrical
AIZL,ASEL,1.0,chemical
AIZL,AVER,5.0,chemical
AIZL,DVA,4.0,chemical
AIZL,RIAL,8.0,chemical
AIZL,RIGL,1.0,chemical
AIZL,SMBDL,9.0,chemical
AIZL,SMBVL,7.0,chemical
AIZL,VB2,1.0,chemical
AIZL,RIR,6.0,chemical
AIZL,AWBL,9.0,chemical
AIZL,AIYL,13.0,chemical
AIZL,ASGL,1.0,electrical
AIZL,ASIL,1.0,chemical
AIZL,AWAL,10.0,chemical
AIZL,HSNL,2.0,chemical
AIZL,HSNR,1.0,chemical
AUAL,AINR,1.0,electrical
AUAL,AUAR,1.0,electrical
AUAL,AVAL,3.0,chemical
AUAL,RIAL,5.0,chemical
AUAL,RIBL,10.0,chemical
AUAL,RIR,1.0,chemical
AUAL,AWBL,1.0,electrical
AUAL,DVA,1.0,chemical
AUAL,URXL,5.0,chemical
AUAL,IL2DL,1.0,chemical
OLQVL,IL2L,8.0,chemical
OLQVL,RIH,2.0,chemical
OLQVL,IL1VL,2.0,chemical
OLQVL,IL2VL,2.0,chemical
OLQVL,RIGL,1.0,electrical
OLQVL,RMDDL,1.0,electrical
OLQVL,RMDVR,4.0,chemical
OLQVL,SIBDL,3.0,chemical
OLQVL,URBL,1.0,electrical
OLQVL,ADLL,1.0,electrical
OLQVL,RIBL,1.0,electrical
OLQVL,CEPVL,1.0,electrical
RIAL,RIVR,6.0,chemical
RIAL,SMDVL,9.0,chemical
RIAL,ADEL,1.0,chemical
RIAL,CEPVL,1.0,chemical
RIAL,RIAR,5.0,chemical
RIAL,RIVL,3.0,chemical
RIAL,RMDDL,12.0,chemical
RIAL,RMDDR,7.0,chemical
RIAL,RMDL,10.0,chemical
RIAL,RMDR,9.0,chemical
RIAL,RMDVL,9.0,chemical
RIAL,RMDVR,11.0,chemical
RIAL,SIADL,2.0,chemical
RIAL,SMDDL,9.0,chemical
RIAL,SMDDR,12.0,chemical
RIAL,RIH,11.0,chemical
RIAL,RIR,5.0,chemical
RIAL,AWBL,3.0,chemical
RIAL,AIYL,7.0,chemical
RIAL,AWCL,3.0,chemical
RIAL,RIBL,3.0,chemical
RIAL,BAGR,5.0,chemical
RIAL,DVA,1.0,chemical
RIAL,AQR,3.0,chemical
RIAL,URXL,8.0,chemical
RIAL,URYVL,1.0,chemical
RIAL,IL2VL,1.0,chemical
RIGL,ADEL,5.0,chemical
RIGL,ADER,7.0,chemical
RIGL,OLLL,1.0,electrical
RIGL,AIZR,1.0,chemical
RIGL,ALNL,1.0,chemical
RIGL,AQR,2.0,electrical
RIGL,AVER,1.0,chemical
RIGL,AVKL,1.0,electrical
RIGL,AVKR,2.0,chemical
RIGL,BAGR,2.0,mixed
RIGL,DVC,6.0,chemical
RIGL,RIBL,2.0,mixed
RIGL,RIGR,3.0,electrical
RIGL,RIR,3.0,chemical
RIGL,RMFL,1.0,chemical
RIGL,RMHR,3.0,chemical
RIGL,VB2,1.0,electrical
RIGL,AVHR,1.0,chemical
RIGL,BAGL,1.0,chemical
RIGL,PVPL,2.0,chemical
RIGL,URXL,3.0,chemical
RIGL,VD1,2.0,electrical
RIGL,URYVL,1.0,electrical
RIGL,PVT,2.0,chemical
RIGL,OLQDL,1.0,electrical
RIGL,URYDL,1.0,electrical
RIGL,RMEL,1.0,electrical
RIR,ADFR,3.0,chemical
RIR,RIGR,1.0,chemical
RIR,AFDR,1.0,chemical
RIR,AIZR,5.0,chemical
RIR,AWBR,3.0,chemical
RIR,BAGR,2.0,mixed
RIR,DVA,5.0,chemical
RIR,HSNL,1.0,chemical
RIR,PVPL,1.0,chemical
RIR,RIAR,1.0,chemical
RIR,URXL,5.0,chemical
RIR,URXR,2.0,chemical
RIR,AWAR,2.0,chemical
RIR,AVHL,3.0,chemical
RIR,AVHR,4.0,chemical
RIR,RMGR,1.0,chemical
RIR,BAGL,1.0,electrical
SMBVL,RMGL,2.0,chemical
SMBVL,SAAVR,2.0,electrical
SMBVL,LegacyBodyWallMuscles,6.0,chemical
SMBVL,PLNL,7.0,chemical
SMBVL,RMEV,5.0,chemical
SMBVL,SAADL,3.0,chemical
SMBVL,AIML,1.0,chemical
SMBVL,AVHR,1.0,chemical
SMBVL,DVA,3.0,chemical
AIYL,AIYR,1.0,electrical
AIYL,ASER,4.0,chemical
AIYL,AWCR,5.0,chemical
AIYL,AFDL,7.0,chemical
AIYL,AWAL,4.0,chemical
AIYL,AWCL,11.0,chemical
AIYL,HSNR,1.0,chemical
AIYL,RIBL,4.0,chemical
AIYL,ASIL,2.0,chemical
AIYL,ASEL,13.0,chemical
AIYL,BAGR,1.0,chemical
ASER,PVQR,1.0,chemical
ASER,ADLL,3.0,chemical
ASER,ADLR,1.0,chemical
ASER,AIAL,5.0,chemical
ASER,AFDL,2.0,chemical
ASER,AFDR,3.0,chemical
ASER,AIAR,4.0,chemical
ASER,AIYR,14.0,chemical
ASER,AWAR,3.0,chemical
ASER,AWCL,1.0,chemical
ASER,AWCR,1.0,chemical
ASER,AINR,2.0,chemical
ASER,ASIL,1.0,chemical
AVAL,ADAR,1.0,chemical
AVAL,AS1,3.0,electrical
AVAL,AS10,3.0,mixed
AVAL,AS11,4.0,chemical
AVAL,AS2,1.0,chemical
AVAL,AS3,2.0,electrical
AVAL,AS4,1.0,chemical
AVAL,AS5,1.0,electrical
AVAL,AS6,1.0,electrical
AVAL,AS7,6.0,electrical
AVAL,AS8,4.0,electrical
AVAL,AS9,4.0,electrical
AVAL,AVHL,1.0,chemical
AVAL,DA1,2.0,electrical
AVAL,DA2,2.0,electrical
AVAL,DA3,6.0,chemical
AVAL,DA4,3.0,electrical
AVAL,DA5,1.0,electrical
AVAL,DA6,10.0,electrical
AVAL,DA7,2.0,electrical
AVAL,DA8,4.0,chemical
AVAL,DA9,3.0,chemical
AVAL,DB5,2.0,chemical
AVAL,DB6,4.0,mixed
AVAL,LUAL,6.0,mixed
